date,time,faculty_id,faculty_email,exam,room
2024-01-20,09:00,FAC001,faculty001@university.edu,Mid-Term Mathematics,ExamHall1
2024-01-20,14:00,FAC002,faculty002@university.edu,Mid-Term Physics,ExamHall2
2024-01-21,09:00,FAC003,faculty003@university.edu,Mid-Term Chemistry,ExamHall1
2024-01-21,14:00,FAC004,faculty004@university.edu,Mid-Term Biology,ExamHall2
2024-01-22,09:00,FAC005,faculty005@university.edu,Mid-Term Computer Science,ExamHall1
2024-01-22,14:00,FAC001,faculty001@university.edu,Final Mathematics,ExamHall3
2024-01-23,09:00,FAC002,faculty002@university.edu,Final Physics,ExamHall3
2024-01-23,14:00,FAC003,faculty003@university.edu,Final Chemistry,ExamHall4
2024-01-24,09:00,FAC004,faculty004@university.edu,Final Biology,ExamHall4
2024-01-24,14:00,FAC005,faculty005@university.edu,Final Computer Science,ExamHall5
